id,team_name,player_name,angle,distance,under_pressure,body_part_name_Other,body_part_name_foot,shot_first_time,shot_deflected,shot_open_goal,shot_follows_dribble,shot_one_on_one,position_category,goal
5429bff3-00ee-4a2f-adf8-bc1786d021b7,Belgium,Romelu Lukaku Menama,46.08092418666079,2.5999999999999943,0,1,0,0,0,0,0,0,Forward,0
b39d1fc7-9900-418d-9c8d-57eed5a69ca8,Ghana,Jordan Ayew,10.581635520943786,18.200000000000003,1,0,1,0,0,0,0,0,Forward,0
6a305815-b3ba-4a49-86fc-932d78a8b6ff,Uruguay,Darwin Gabriel Núñez Ribeiro,39.80557109226519,14.941218156495811,0,0,1,1,0,0,0,0,Forward,0
8c2acbe1-dd20-4109-b0ba-d4e00b7d2b79,Uruguay,Luis Alberto Suárez Díaz,30.06858282186244,11.69273278579478,0,0,1,0,0,0,0,0,Forward,0
c0bf36b0-f215-4fac-8f2b-0bfe450b84b9,Uruguay,Giorgian Daniel De Arrascaeta Benedetti,53.471144633014866,2.0,0,0,0,0,0,1,0,1,Midfielder,1
f263c203-16c0-4b57-8e5c-31d647713341,Uruguay,Giorgian Daniel De Arrascaeta Benedetti,43.726969979943284,10.37689741685828,1,0,1,1,0,0,0,0,Midfielder,1
71321eb9-e32b-4f3f-9c66-d6939658a46a,Ghana,Mohammed Kudus,12.911891207597877,25.363950796356622,0,0,1,0,0,0,0,0,Forward,0
3dc51866-6bf8-471b-ba05-faa571766b28,Uruguay,José María Giménez de Vargas,10.491477012331599,13.5,1,0,0,0,0,0,0,0,Defender,0
f41ce6b4-0811-46ce-8cdd-874d2ecd4e67,Ghana,Osman Bukari,35.21759296819271,16.743058263053374,0,0,1,0,0,0,0,0,Forward,0
47112b29-123f-4667-bbd9-b071d7cea097,Uruguay,Facundo Pellistri Rebollo,28.54619073104336,12.809761902549164,0,0,1,0,0,0,0,0,Midfielder,0
c5ec3779-d653-4fe2-a290-3b444e68b5b7,Uruguay,Federico Santiago Valverde Dipetta,32.47119229084849,30.63494736408078,0,0,1,1,0,0,0,0,Midfielder,0
095b17d1-9739-45b1-9a8e-ec842572c84e,Uruguay,Federico Santiago Valverde Dipetta,34.99202019855866,30.838450025901107,0,0,1,0,0,0,0,0,Midfielder,0
092b56ea-a582-41dd-96fa-f8fce3e7a5fa,Ghana,Mohammed Kudus,16.50436138175503,24.50979396078229,0,0,1,0,0,0,0,0,Midfielder,0
bd020554-5cae-4d48-af85-36429a7f95a8,Uruguay,Federico Santiago Valverde Dipetta,30.54757174890702,68.8839603971781,0,0,1,0,0,0,0,0,Midfielder,0
1bcd4e6c-ad42-4ed1-8d2e-b04491171b31,Ghana,Antoine Semenyo,49.08561677997486,13.120975573485385,0,0,1,0,0,0,0,1,Forward,0
4d7833de-1ebd-45df-8d7e-2fb94a1493f6,Ghana,Mohammed Kudus,6.881723630636942,23.200000000000003,0,0,1,0,0,0,0,0,Midfielder,0
700a459e-41c8-4bc7-bbee-1e78270fdfca,Ghana,Mohammed Kudus,16.69924423399363,12.0,0,0,1,0,0,0,0,0,Midfielder,0
033f5d65-1c0b-4fa3-bc3d-fdf4e81b88cf,Uruguay,Maximiliano Gómez González,19.195467600052876,27.53470537340104,0,0,1,0,0,0,0,0,Forward,0
01abcd99-4995-4f6f-8193-80f4c441dab1,Ghana,Kamaldeen Sulemana,27.342271827956182,21.536248512682054,0,0,1,0,0,0,0,0,Forward,0
a355f5af-16de-44d3-b89a-14973e536ecb,Uruguay,Sebastián Coates Nión,14.995079129175982,11.200000000000003,0,0,1,1,0,0,0,0,Defender,0
a62055b5-20d9-4956-ab7d-57ad2cd35bfb,Germany,Jamal Musiala,26.789299658301694,21.35064401838971,0,0,1,0,0,0,0,0,Midfielder,0
78372db3-4438-40e3-82a8-65007d636ab4,Germany,Leon Goretzka,37.30394827798342,11.236102527122116,0,0,1,1,0,0,0,0,Midfielder,0
8f0e410c-10ab-4172-a297-b46a4e3d97e8,Germany,Thomas Müller,11.496563017585776,11.799999999999997,0,0,0,0,0,0,0,1,Forward,0
9938914f-f9a8-4135-ba68-38e92b8664a9,Germany,Serge Gnabry,40.42607874009916,8.60348766489497,0,0,0,0,0,0,0,0,Forward,1
aca4e45f-79b2-4ac9-a973-73e5c5cd84c1,Germany,Leon Goretzka,31.328692867804165,6.9028979421689325,0,0,0,0,0,0,0,1,Midfielder,0
8375dd37-36b6-48d3-8448-8c7451922028,Germany,Thomas Müller,7.460566126168356,8.400000000000006,1,0,0,0,0,0,0,0,Forward,0
f5141542-f8c9-4997-87c5-f3ba57c54579,Germany,Serge Gnabry,31.58589750386673,15.654072952429981,0,0,1,0,0,0,0,0,Forward,0
d9d27d20-35bc-42bc-ac53-059ad519f781,Germany,Joshua Kimmich,29.789573783597895,30.01666203960726,0,0,1,0,0,0,0,0,Defender,0
25e917e4-f8e5-4c8b-939e-ac930bac13df,Germany,Jamal Musiala,24.111019502550917,14.499999999999996,0,0,1,0,0,0,0,0,Midfielder,0
fef49dbd-d994-4012-ab32-8d15c03b9ad3,Germany,Serge Gnabry,39.22051417484411,15.341773039645707,0,0,1,0,0,0,0,0,Forward,0
362a32de-b8db-42c0-aea0-57c3b9e9fbd9,Costa Rica,Keysher Fuller Spence,41.15396990995262,14.54991408909345,0,0,1,0,0,0,0,1,Defender,0
38d2ee87-251b-452e-a392-332deda57fae,Germany,Leroy Sané,19.94030056833038,21.83323155192561,1,0,1,0,0,0,0,0,Forward,0
42025678-555a-4e3e-83b5-9f8e85cee7c9,Germany,Leroy Sané,12.380756928807177,20.506096654409877,0,0,1,0,0,0,0,0,Forward,0
62f3ac90-d926-403f-bc4e-7b75151f7cf1,Costa Rica,Keysher Fuller Spence,52.56532106843231,15.279397893896208,0,0,1,1,0,0,0,0,Forward,0
bf0a4857-9ca5-4d95-9ea1-3cb79efb0333,Costa Rica,Yeltsin Ignacio Tejeda Valverde,21.323231230098433,23.320591759215716,1,0,1,0,0,0,0,0,Midfielder,0
47554bde-0f82-45e1-8f4a-efe038f1797e,Germany,Serge Gnabry,34.166953608029324,21.337759957408835,0,0,1,1,0,0,0,0,Midfielder,0
86002220-9b70-4037-ad7c-272980f643d3,Germany,Leroy Sané,0.7902365024291848,29.0,0,0,1,0,0,0,0,0,Midfielder,0
2d25205d-39c6-4b4f-9593-c31b3368588c,Costa Rica,Kendall Jamaal Waston Manley,25.94229548987168,11.187939935484096,0,0,0,0,0,0,0,0,Defender,0
7ac1dc70-2b10-4346-967a-cf3e9200640b,Costa Rica,Yeltsin Ignacio Tejeda Valverde,18.434948822921992,5.700000000000003,0,0,1,1,0,0,0,0,Midfielder,1
bdd22ef3-9119-4e9a-a8a2-4cb420cb61c2,Germany,Jamal Musiala,52.57615489568909,11.562439189029273,0,0,1,0,0,0,0,0,Midfielder,0
3f07c0f9-13e7-48cf-b703-1f1b16642ed3,Germany,Jamal Musiala,72.37770277133171,5.247856705360772,0,0,1,1,0,0,0,0,Midfielder,0
69067c60-66ae-4544-9ced-17eb410f56f9,Germany,Thomas Müller,27.7240562359714,14.068759717899802,0,0,1,0,0,0,0,0,Forward,0
e526ef0e-05b8-4d93-b032-0719ce696e88,Germany,Antonio Rüdiger,37.366669412768715,5.503635162326805,1,0,1,1,0,0,0,0,Defender,0
