id,index,period,minute,second,possession,duration,match_id,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,player_id,player_name,position_id,position_name,end_x,end_y,body_part_id,sub_type_id,sub_type_name,x,y,outcome_id,outcome_name,under_pressure,shot_statsbomb_xg,technique_id,technique_name,shot_first_time,end_z,shot_one_on_one,shot_deflected,shot_open_goal,shot_follows_dribble,shot_redirect,goal,home_team_name,away_team_name,competition_stage_name,home_score,away_score,position_category,angle,distance,body_part_name_Head,body_part_name_Other,body_part_name_foot,body_part_name_other
a8953e7b-69b5-4d68-922a-a3cf2ce6ca0f,2945,2,88,48,185,0.070657,3857256,16,Shot,773,Switzerland,3,From Free Kick,773,Switzerland,16022,Christian Fassnacht,21,Left Wing,107.0,30.1,40,87,Open Play,105.3,28.9,100,Saved,0,0.31681746,93,Normal,0,0.0,0,0,0,0,0,0,Serbia,Switzerland,Group Stage,2,3,Forward,37.05652818940958,16.324827717314513,0,0,1,0
e7ede913-f7f7-48b7-92d3-b88295a117d7,3074,2,91,50,191,1.21439,3857256,16,Shot,786,Serbia,4,From Throw In,786,Serbia,6319,Luka Jović,22,Right Center Forward,120.0,37.1,37,87,Open Play,105.0,39.8,98,Off T,1,0.03223471,93,Normal,0,4.1,0,0,0,0,0,0,Serbia,Switzerland,Group Stage,2,3,Forward,0.7638984609300059,15.0,1,0,0,1
e674f461-f75f-4df1-8950-f5922f84e9ce,3208,2,99,51,203,0.791543,3857256,16,Shot,786,Serbia,3,From Free Kick,786,Serbia,5833,Nemanja Radonjić,7,Right Wing Back,120.0,45.2,38,87,Open Play,105.7,51.3,98,Off T,0,0.042810295,91,Half Volley,1,0.6,0,0,0,0,0,0,Serbia,Switzerland,Group Stage,2,3,Defender,38.31613589196588,16.055528642807122,0,0,1,0
9fd07a9a-2de2-4ba5-b400-6a2264835ba2,839,1,16,29,25,0.938361,3869151,16,Shot,779,Argentina,3,From Free Kick,779,Argentina,7006,Alejandro Darío Gómez,21,Left Wing,120.0,47.5,40,87,Open Play,98.2,20.1,98,Off T,0,0.011147299,93,Normal,0,7.1,0,0,0,0,0,0,Argentina,Australia,Round of 16,2,1,Forward,42.39120525325055,26.982401672201085,0,0,1,0
b70841d8-d3d3-40de-a009-58a8309e3ba2,1397,1,28,9,42,0.432666,3869151,16,Shot,792,Australia,2,From Corner,792,Australia,22293,Harry Souttar,3,Right Center Back,114.0,40.9,37,87,Open Play,111.9,44.0,96,Blocked,1,0.06809473,93,Normal,0,0.0,0,0,0,0,0,0,Argentina,Australia,Round of 16,2,1,Defender,26.281411021320192,8.099999999999994,1,0,0,1
53d825ac-a98d-41ca-b81f-1015dee17376,1646,1,34,35,52,0.883672,3869151,16,Shot,779,Argentina,3,From Free Kick,779,Argentina,5503,Lionel Andrés Messi Cuccittini,22,Right Center Forward,120.0,37.1,38,87,Open Play,104.2,48.9,97,Goal,0,0.06663833,93,Normal,0,0.3,0,0,0,0,0,1,Argentina,Australia,Round of 16,2,1,Forward,29.392175755239265,16.542369842317026,0,0,1,0
9fa41c60-ab9c-4fcb-8d5c-39a781e7a9c0,2431,2,49,59,77,0.038189,3869151,16,Shot,779,Argentina,1,Regular Play,779,Argentina,5503,Lionel Andrés Messi Cuccittini,22,Right Center Forward,116.9,40.0,38,87,Open Play,99.8,38.5,100,Saved,0,0.04517154,93,Normal,0,0.6,0,1,0,0,0,0,Argentina,Australia,Round of 16,2,1,Forward,4.246842607023471,20.200000000000003,0,0,1,0
a7ce988c-2d9b-4d78-8b34-95e4d2774ae0,2752,2,56,41,89,1.649001,3869151,16,Shot,792,Australia,1,Regular Play,779,Argentina,29560,Julián Álvarez,24,Left Center Forward,120.0,36.5,40,87,Open Play,110.4,50.3,97,Goal,0,0.28060678,93,Normal,0,0.3,0,0,0,0,0,1,Argentina,Australia,Round of 16,2,1,Forward,47.01459878787058,11.482595525402775,0,0,1,0
5f1b13a1-f49c-41a6-9040-2c7db303d427,3120,2,65,50,100,0.893309,3869151,16,Shot,779,Argentina,2,From Corner,779,Argentina,5503,Lionel Andrés Messi Cuccittini,22,Right Center Forward,120.0,31.6,38,87,Open Play,95.4,33.6,98,Off T,0,0.032841697,93,Normal,0,6.2,0,0,0,0,0,0,Argentina,Australia,Round of 16,2,1,Forward,14.582942329484077,24.716795908855172,0,0,1,0
060deabd-8fca-4998-b49c-bf4dee752a0e,3411,2,74,43,115,1.906571,3869151,16,Shot,779,Argentina,1,Regular Play,779,Argentina,5507,Nicolás Alejandro Tagliafico,8,Left Wing Back,120.0,49.6,38,87,Open Play,103.2,24.9,98,Off T,0,0.05181273,93,Normal,0,0.3,0,0,0,0,0,0,Argentina,Australia,Round of 16,2,1,Defender,41.9495055058586,20.1357890334598,0,0,1,0
5d585edf-d8ab-469c-b9ca-a6253faaa793,3452,2,76,9,120,0.448576,3869151,16,Shot,792,Australia,1,Regular Play,792,Australia,8346,Craig Goodwin,16,Left Midfield,104.9,26.6,38,87,Open Play,98.2,22.6,96,Blocked,0,0.013616442,91,Half Volley,1,0.0,0,0,0,0,0,0,Argentina,Australia,Round of 16,2,1,Midfielder,38.59564727361586,25.589060162499127,0,0,1,0
2f0bd31e-adca-4b9e-96ea-5a64e1d9ce2e,3612,2,80,8,128,0.158058,3869151,16,Shot,792,Australia,3,From Free Kick,792,Australia,5479,Aziz Eraltay Behich,6,Left Back,111.4,33.7,40,87,Open Play,110.6,33.2,96,Blocked,0,0.07721693,93,Normal,0,0.0,0,0,0,0,0,0,Argentina,Australia,Round of 16,2,1,Defender,35.88213724620418,9.808159868191387,0,0,1,0
0b0970d0-4cfa-4f0c-aff3-210cb296226a,3620,2,80,41,129,1.234929,3869151,16,Shot,792,Australia,2,From Corner,792,Australia,8859,Ajdin Hrustic,12,Right Midfield,120.0,36.2,38,87,Open Play,100.0,52.7,98,Off T,1,0.033247408,93,Normal,0,3.8,0,0,0,0,0,0,Argentina,Australia,Round of 16,2,1,Midfielder,32.415547329858676,21.810318658836696,0,0,1,0
fbbcbd30-78e7-4627-9714-bdf463a6c12e,3818,2,87,15,138,2.376645,3869151,16,Shot,779,Argentina,3,From Free Kick,779,Argentina,11456,Lautaro Javier Martínez,24,Left Center Forward,120.0,30.0,40,87,Open Play,108.3,52.3,98,Off T,0,0.051439364,93,Normal,1,0.2,0,0,0,0,0,0,Argentina,Australia,Round of 16,2,1,Forward,46.432096184164635,14.345033983926285,0,0,1,0
e48ce4af-0f98-4004-b235-e115cefa6bac,3854,2,88,11,140,0.659907,3869151,16,Shot,779,Argentina,6,From Counter,779,Argentina,11456,Lautaro Javier Martínez,24,Left Center Forward,120.0,45.1,40,87,Open Play,107.6,31.9,98,Off T,0,0.24890411,93,Normal,1,5.4,0,0,0,0,0,0,Argentina,Australia,Round of 16,2,1,Forward,33.15360586678055,13.060245020672474,0,0,1,0
8779a120-92be-4bef-b143-a0e91aa68bfb,3936,2,92,10,148,0.13627,3869151,16,Shot,779,Argentina,4,From Throw In,779,Argentina,11456,Lautaro Javier Martínez,24,Left Center Forward,114.1,35.9,38,87,Open Play,109.1,31.8,100,Saved,0,0.37209997,93,Normal,0,0.5,0,0,0,0,0,0,Argentina,Australia,Round of 16,2,1,Forward,36.95390899254759,11.68118144709687,0,0,1,0
36dc8c71-010d-4cfb-8427-774a6e556620,3978,2,92,50,150,0.71693,3869151,16,Shot,779,Argentina,1,Regular Play,779,Argentina,5503,Lionel Andrés Messi Cuccittini,22,Right Center Forward,120.0,36.5,38,87,Open Play,104.6,52.2,98,Off T,0,0.055600196,93,Normal,0,4.0,0,0,0,0,0,0,Argentina,Australia,Round of 16,2,1,Forward,38.38653951768524,17.447062790051515,0,0,1,0
1ec1a0e0-f57f-4390-879a-872cdc7be137,4012,2,93,43,152,0.348384,3869151,16,Shot,779,Argentina,1,Regular Play,779,Argentina,28268,Exequiel Alejandro Palacios,15,Left Center Midfield,107.3,47.9,40,87,Open Play,103.6,50.1,96,Blocked,0,0.046685893,93,Normal,0,0.0,0,0,0,0,0,0,Argentina,Australia,Round of 16,2,1,Midfielder,31.626990605875946,17.497714136423657,0,0,1,0
015c52d6-b1c1-45c2-b450-75238519b983,4026,2,93,54,152,0.136651,3869151,16,Shot,779,Argentina,1,Regular Play,779,Argentina,5503,Lionel Andrés Messi Cuccittini,22,Right Center Forward,103.5,39.9,38,87,Open Play,102.2,40.0,96,Blocked,1,0.032042325,93,Normal,0,0.0,0,0,0,0,0,0,Argentina,Australia,Round of 16,2,1,Forward,0.0,17.799999999999997,0,0,1,0
6c7be4e1-edc2-4255-951e-1b21ee426a72,4035,2,93,59,152,0.151796,3869151,16,Shot,779,Argentina,1,Regular Play,779,Argentina,11456,Lautaro Javier Martínez,24,Left Center Forward,119.1,36.6,38,87,Open Play,108.3,30.8,100,Saved,0,0.076142184,93,Normal,0,0.2,0,1,0,0,0,0,Argentina,Australia,Round of 16,2,1,Forward,38.17884763521564,12.80351514233494,0,0,1,0
9fddcb1c-e704-48ad-a1e4-1bd6318e9cd0,4039,2,94,0,152,2.218924,3869151,16,Shot,779,Argentina,1,Regular Play,779,Argentina,5503,Lionel Andrés Messi Cuccittini,22,Right Center Forward,120.0,53.8,38,87,Open Play,106.4,37.0,101,Wayward,0,0.110446885,91,Half Volley,1,0.0,0,0,0,0,0,0,Argentina,Australia,Round of 16,2,1,Forward,12.439562018846553,13.599999999999994,0,0,1,0
e0cbd7b9-8daf-45c3-8d36-967f5ff74080,4140,2,96,36,155,0.706326,3869151,16,Shot,792,Australia,1,Regular Play,792,Australia,227697,Garang Kuol,24,Left Center Forward,115.7,46.4,40,87,Open Play,113.1,49.4,100,Saved,0,0.23394231,93,Normal,0,1.2,0,0,0,0,0,0,Argentina,Australia,Round of 16,2,1,Forward,53.7197465062373,8.761849119906143,0,0,1,0
f0cb1d2a-2a77-42a6-be8c-4fa4187bed6a,99,1,2,29,8,0.410769,3857257,16,Shot,792,Australia,4,From Throw In,792,Australia,33477,Riley McGree,22,Right Center Forward,102.9,44.5,38,87,Open Play,94.6,46.6,96,Blocked,0,0.038979717,93,Normal,0,0.0,0,0,0,0,0,0,Australia,Denmark,Group Stage,1,0,Forward,14.56576424655659,25.532724100651702,0,0,1,0
701998cd-e517-4ebd-a496-419fe51d4a12,358,1,10,0,22,0.094992,3857257,16,Shot,776,Denmark,7,From Goal Kick,776,Denmark,27569,Jesper Lindstrøm,21,Left Wing,111.1,43.6,40,87,Open Play,110.1,43.9,96,Blocked,0,0.09599891,93,Normal,1,0.0,0,0,0,0,0,0,Australia,Denmark,Group Stage,1,0,Forward,21.50143432404789,9.900000000000006,0,0,1,0
4c71ffe3-b6ac-4b8b-a9c2-4e0a88be94fe,408,1,10,52,22,0.427876,3857257,16,Shot,776,Denmark,7,From Goal Kick,776,Denmark,18722,Mathias Jensen,13,Right Center Midfield,117.7,45.4,40,87,Open Play,112.7,56.3,100,Saved,0,0.019605601,93,Normal,0,2.4,1,0,0,0,0,0,Australia,Denmark,Group Stage,1,0,Midfielder,65.87464682645003,14.303146506975306,0,0,1,0
3f92e039-be0b-4352-a2a5-f8d1521d4307,483,1,13,33,25,0.680154,3857257,16,Shot,776,Denmark,4,From Throw In,776,Denmark,17042,Andreas Skov Olsen,17,Right Wing,120.0,45.1,40,87,Open Play,104.7,50.7,98,Off T,0,0.10059545,93,Normal,0,5.0,0,0,0,0,0,0,Australia,Denmark,Group Stage,1,0,Forward,34.966879445668845,16.70269439342048,0,0,1,0
15f46e99-0d0c-4f58-b1fd-500ba56c490b,768,1,21,44,44,0.90947,3857257,16,Shot,792,Australia,3,From Free Kick,792,Australia,33477,Riley McGree,22,Right Center Forward,117.5,42.9,38,87,Open Play,101.3,59.0,100,Saved,0,0.010740947,91,Half Volley,0,2.3,0,0,0,0,0,0,Australia,Denmark,Group Stage,1,0,Forward,45.45592496167219,23.97269279826528,0,0,1,0
db3c5470-e81b-4b19-abbe-d9b10e9ac5d2,890,1,24,7,51,0.665379,3857257,16,Shot,776,Denmark,4,From Throw In,776,Denmark,17042,Andreas Skov Olsen,17,Right Wing,116.4,44.4,40,87,Open Play,109.6,50.5,100,Saved,0,0.09373255,93,Normal,1,0.4,0,0,0,0,0,0,Australia,Denmark,Group Stage,1,0,Forward,45.27414039373321,12.26417547167359,0,0,1,0
905337d4-0b79-404a-978e-344c51fff75e,1076,1,28,36,61,0.755119,3857257,16,Shot,776,Denmark,1,Regular Play,776,Denmark,3043,Christian Dannemann Eriksen,15,Left Center Midfield,120.0,33.5,40,87,Open Play,102.9,25.6,98,Off T,0,0.035615563,93,Normal,0,0.2,0,0,0,0,0,0,Australia,Denmark,Group Stage,1,0,Midfielder,40.10090754621224,20.014244927051326,0,0,1,0
25216d44-cb66-4847-a781-3d30ec9ff94d,1209,1,31,33,68,1.151534,3857257,16,Shot,792,Australia,4,From Throw In,792,Australia,33492,Mitchell Thomas Duke,24,Left Center Forward,118.4,41.7,37,87,Open Play,102.5,36.7,100,Saved,0,0.037495814,93,Normal,0,1.8,0,0,0,0,0,0,Australia,Denmark,Group Stage,1,0,Forward,10.678947196535134,17.5,1,0,0,1
3207916f-9317-4288-8e80-d87b561be816,1622,1,40,57,86,1.110221,3857257,16,Shot,792,Australia,4,From Throw In,792,Australia,33492,Mitchell Thomas Duke,24,Left Center Forward,119.0,37.3,40,87,Open Play,98.3,20.9,100,Saved,0,0.010397313,93,Normal,0,0.5,0,0,0,0,0,0,Australia,Denmark,Group Stage,1,0,Forward,41.35372879124316,26.436716891475008,0,0,1,0
828cfb58-d018-4408-a4c3-b7732136656a,1876,2,46,10,103,0.51478,3857257,16,Shot,792,Australia,2,From Corner,792,Australia,5479,Aziz Eraltay Behich,6,Left Back,111.5,39.6,40,87,Open Play,100.2,34.1,96,Blocked,0,0.049681988,91,Half Volley,1,0.0,0,0,0,0,0,0,Australia,Denmark,Group Stage,1,0,Defender,16.5929934897469,19.890952717253136,0,0,1,0
c9675713-e333-4449-aacd-ba1877a619c8,1937,2,47,47,107,1.096425,3857257,16,Shot,792,Australia,1,Regular Play,792,Australia,5490,Jackson Irvine,19,Center Attacking Midfield,120.0,42.8,38,87,Open Play,109.6,30.8,98,Off T,0,0.17342122,91,Half Volley,1,5.6,0,0,0,0,0,0,Australia,Denmark,Group Stage,1,0,Midfielder,41.49646835521552,11.627553482998911,0,0,1,0
1792c833-a739-4ce0-82f8-2214e2fd4107,2115,2,51,59,114,0.094442,3857257,16,Shot,776,Denmark,4,From Throw In,776,Denmark,17042,Andreas Skov Olsen,17,Right Wing,108.6,51.2,38,87,Open Play,107.2,52.9,96,Blocked,0,0.046983063,93,Normal,0,0.0,0,0,0,0,0,0,Australia,Denmark,Group Stage,1,0,Forward,45.222939651197535,15.590060936378661,0,0,1,0
ac1f3ccc-f72f-4ff2-84d3-26855bfb3408,2410,2,59,56,126,1.015606,3857257,16,Shot,792,Australia,6,From Counter,792,Australia,5481,Mathew Leckie,17,Right Wing,120.0,43.5,38,87,Open Play,105.7,31.5,97,Goal,0,0.11353828,93,Normal,0,0.2,0,0,0,0,0,1,Australia,Denmark,Group Stage,1,0,Forward,30.727486615599673,14.991330828181997,0,0,1,0
eeb148fd-dca0-408f-8145-ae315d4587aa,2673,2,68,4,136,0.244203,3857257,16,Shot,776,Denmark,4,From Throw In,776,Denmark,17042,Andreas Skov Olsen,17,Right Wing,107.1,46.3,38,87,Open Play,103.1,49.3,96,Blocked,1,0.070518844,93,Normal,0,0.0,0,0,0,0,0,0,Australia,Denmark,Group Stage,1,0,Forward,28.82380663839161,17.71157813409071,0,0,1,0
4b6c9965-785d-45c7-873b-f1667e7d2214,2679,2,68,39,137,0.328788,3857257,16,Shot,776,Denmark,2,From Corner,776,Denmark,8247,Joachim Andersen,3,Right Center Back,120.0,47.1,37,87,Open Play,113.9,52.3,98,Off T,1,0.020115681,93,Normal,0,5.8,0,0,0,0,0,0,Australia,Denmark,Group Stage,1,0,Defender,63.6215793664876,10.300485425454466,1,0,0,1
79c7312b-6178-44c9-8724-e422dcfcefe8,2909,2,76,24,149,0.124383,3857257,16,Shot,776,Denmark,1,Regular Play,776,Denmark,24547,Alexander Hartmann Bah,2,Right Back,101.1,53.5,40,87,Open Play,99.4,54.5,96,Blocked,0,0.019515881,91,Half Volley,1,0.0,0,0,0,0,0,0,Australia,Denmark,Group Stage,1,0,Defender,35.14108205285613,23.12163489029268,0,0,1,0
